Prepayment Date,Prepayment Type,Prepayment Amount,Number of Loans,Amount Not Applied,Prepayment Status,Reversed Date,Reversed Amount,Number of Reversed Loans,Pool Number,holder
10/25/2024,Prepayment,"$124,880.92",1,$0.00,,,$0.00,0,530585,"BMO CAPITAL MARKETS CORP., "
10/25/2024,Principal Reduction,"$21,159.04",0,$0.00,,,$0.00,0,530585,"BMO CAPITAL MARKETS CORP., "
11/25/2024,Prepayment,"$245,253.13",1,$0.00,,,$0.00,0,530581,"RAYMOND JAMES BANK, N.A., "
11/25/2024,Principal Reduction,"$423,992.67",0,$0.00,,,$0.00,0,530634,"BREAN CAPITAL, LLC, "
11/25/2024,Prepayment,"$41,970.00",1,$0.00,,,$0.00,0,530619,"RAYMOND JAMES BANK, N.A., "
09/25/2024,Prepayment,"$259,678.89",1,$0.00,,,$0.00,0,530497,"FHN FINANCIAL CAPITAL MARKETS, "
06/25/2024,Prepayment,"$124,577.29",1,$0.00,,,$0.00,0,530528,"BREAN CAPITAL, LLC, "
07/25/2024,Prepayment,"$209,090.46",2,$0.00,,,$0.00,0,530528,"BREAN CAPITAL, LLC, "
08/25/2024,Prepayment,"$353,723.09",2,$0.00,,,$0.00,0,530528,"BREAN CAPITAL, LLC, "
09/25/2024,Prepayment,"$366,968.82",3,$0.00,,,$0.00,0,530528,"BREAN CAPITAL, LLC, "
09/25/2024,Principal Reduction,"$25,115.01",0,$0.00,,,$0.00,0,530528,"BREAN CAPITAL, LLC, "
10/25/2024,Prepayment,"$537,421.53",3,$0.00,,,$0.00,0,530528,"BREAN CAPITAL, LLC, "
10/25/2024,Principal Reduction,"$24,911.58",0,$0.00,,,$0.00,0,530528,"BREAN CAPITAL, LLC, "
11/25/2024,Prepayment,"$120,939.62",1,$0.00,,,$0.00,0,530528,"BREAN CAPITAL, LLC, "
11/25/2024,Principal Reduction,"$4,447.57",0,$0.00,,,$0.00,0,530528,"BREAN CAPITAL, LLC, "
06/25/2024,Principal Reduction,"$843,450.00",0,$0.00,,,$0.00,0,540119,"WELLS FARGO SECURITIES, LLC, "
07/25/2024,Prepayment,"$497,606.94",1,$0.00,,,$0.00,0,540119,"WELLS FARGO SECURITIES, LLC, "
09/25/2024,Prepayment,"$611,808.43",1,$0.00,,,$0.00,0,540119,"WELLS FARGO SECURITIES, LLC, "
09/25/2024,Prepayment,"$250,470.00",2,$0.00,,,$0.00,0,530575,"CANTOR FITZGERALD & CO., "
09/25/2024,Principal Reduction,"$42,500.00",0,$0.00,,,$0.00,0,530575,"CANTOR FITZGERALD & CO., "
11/25/2024,Principal Reduction,"$232,275.00",0,$0.00,,,$0.00,0,530612,"BREAN CAPITAL, LLC, "
06/25/2024,Prepayment,"$77,535.16",1,$0.00,,,$0.00,0,530545,"FHN FINANCIAL CAPITAL MARKETS, "
10/25/2024,Principal Reduction,"$46,947.15",0,$0.00,,,$0.00,0,530594,"MOMENTUS SECURITIES LLC, "
11/25/2024,Prepayment,"$56,912.24",1,$0.00,,,$0.00,0,530594,"MOMENTUS SECURITIES LLC, "
10/25/2024,Prepayment,"$41,702.22",1,$0.00,,,$0.00,0,530578,"RAYMOND JAMES BANK, N.A., "
11/25/2024,Principal Reduction,"$8,500.00",0,$0.00,,,$0.00,0,530578,"RAYMOND JAMES BANK, N.A., "
